# Kalmasoft Databases
# Database of Arabic words of Amharic origin
# References: www.kalmasoft.com/KLEX/dbamara.htm
# Resources: Lexical Data Repository of the Ge'ez Frontier Foundation https://github.com/geezorg/data/tree/master/amharic; HornMorpho is part of the L3 Project http://www.cs.indiana.edu/~gasser/Research/projects.html; Carl W. Isenberg, Grammar of the Amharic Language
# Related works: www.kalmasoft.com/KLEX/dcamhara.htm, www.kalmasoft.com/KLEX/dbsyriac.htm
# Availability: https://github.com/Kalmasoft/Databases/blob/main/Amharic/KDBAMARA
# Terminology: www.kalmasoft.com/adevtool.htm
# Tools: Amharic Verb Conjugation generator www.kalmasoft.com/KMAPS/eamrconj.htm
# Created: 3/1/2021 8:38 AM
# Updated: 16/12/2021 12:54 PM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: +3,690
# Copyright ©1999-2021 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# ================================================================================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# ================================================================================================
# Attributes:
#	ID: 5 digits identification number, [A######]
#	Amharic: Amharic entry
#	AMIPA: Reading for Amharic (International Phonetic Alphabet)
#	ARIPA: Reading for Arabic (International Phonetic Alphabet)
#	Arabic: Arabic parallel word
#	AMClass/ARClass: Amharic/Arabic grammatical class
#		A: Adjective
#		D: Adverb
#		I: Infinitive (Amharic infinitive, Arabic Mimatic infinitive)
#		G: Gerund (Amharic gerund)
#		M: Masdar (Arabic infinitive)
#		N: Noun
#		NT: Arabic Temporal noun
#		NL: Arabic Locative noun
#		Ncol [iso]: Regional colloquial Arabic Noun, ISO3166-3 Alpha-2 country code, common to all Arab countries otherwise
#		R: Particle
#		P: Participle (Amharic and Arabic active participle)
#		Vcol [iso]: Regional colloquial Arabic Verb, ISO3166-3 Alpha-2 country code, common to all Arab countries otherwise
#		VI: Verb imperfective (Amharic contingent, Arabic imperfective)
#		VC: Verb compound imperfective (Amharic compound imperfective, Arabic emphatic imperfective)
#		VJ: Verb jussive
#		VM: Verb imperative
#		VP: Verb perfective
#	AMSubclass/ARSubclass: Amharic/Arabic entry grammatical subclass
#		CON: Conjunction
#		PRP: Preposition
#		SNG: Singular
#		PLR: Plural
#		ACC: Accusative case
#		NOM: Nominative case
#		DAT: Dative case
#		GEN: Genitive case
#		IND: Indicative mood
#		SUB: Subjunctive mood
#	AMDomain/ARDomain: Amharic/Arabic entry semantic domain
#		ANAT: Anatomy
#		ANIM: Animate
#		DMST: Domestic
#		DATE: Date
#		LANG: Language specific
#		NAME: Named entity
#		NUMB: Number
#		PLNT: Plant
#		RLGN: Religion
#	Category: Arabic entry usage category
#		ARC: Amharic archaic entry
#		FFM: full form morphology
#		NUS: not used in Arabic
#		SSH: semantically shifted in Arabic
#	RootAM: Amharic theoretical root
#	RootAR: Arabic root
#	Gloss: English meaning of the Amharic entry
# ================================================================================================

ID	Amharic	AMIPA	ARIPA	Arabic	AMClass	ARClass	AMSubclass	ARSubclass	AMDomain	ARDomain	Category	RootAM	RootAR	Gloss
A00001	አሣር	/ʔɛsaːr/	/isˤr/	إصْر	N	N				RLGN			إصر	test suffering, ordeal
A00002	ማደብ	/maːdɛb/	/maʔdab/	مَأدَب	G	G						ሀደበ	أدب	behave well
A00003	ማደብ	/maːdɛb/	/maʔdab/	مَأْدَب	I							ሀደበ	أدب	behave well
A00004	አደበ	/ʔɛdɛbɛ/	/ʔdaba/	أَدَبَ	VP	VP						ሀደበ	أدب	behave well
A00005	አዳቢ	/ʔɛdab/	/ʔddaːb/	أدَّاب	P	P						ሀደበ	أدب	behave well
A00006	አድቦ	/ʔɛdɨbo/	/ʔdbun/	أدْبٌ	G	M						ሀደበ	أدب	behave well
A00007	ያድባል	/jadɨbal/	/jaʔdibanna/	يَأْدِبَنَّ	VC	VC						ሀደበ	أدب	behave well
A00008	ያድብ	/jadɨb/	/jaʔdib/	يَأْدِب	VI	VI						ሀደበ	أدب	behave well
A00009	ታሰ፟ረ	/tassɛrɛ/	/taʔssara/	تَأَسَّرَ	VP	VP							أسر	be tied
A00010	ታሰር	/tasɛr/	/taʔssar/	تَأَسَّر	VM	VM							أسر	be tied
A00011	ታስሮ	/tasɨro/	/taʔssurun/	تَأَسُّرٌ	G	M							أسر	be tied
A00012	ይታ፟ሰ፟ር	/jɨttassɛr/	/jaʔssir/	يَأَسِّر	VI	VI							أسر	be tied
A00013	መታሠሪያ	/mɛtasɛrija/	/maʔsar/	مَأسَر	N	N							أسر	detention center, reformatory
A00014	እሥር	/ʔɨsɨr/	/ʔsr/	أسْر	N	N							أسر	detention, incarceration, bunch, pack
A00015	እሥራት	/ʔɨsɨraːt/	/ʔsr/	أسْر	N	N							أسر	incarceration, custody, confinement, detention
A00016	አሣሪ	/ʔɛsaːr/	/ʔːsir/	آسِر	N	N							أسر	one who puts someone behind bars
A00017	አሰራ	/ʔɛsɛraː/	/ʔsara/	أسَرَ	VP	VP							أسر	recoup, recover
A00018	ማሰር	/maːsɛr/	/maʔsar/	مَأسَر	G	G						ሀሰረ	أسر	tie, imprison
A00019	ማሰር	/maːsɛr/	/maʔsar/	مَأْسَر	I							ሀሰረ	أسر	tie, imprison
A00020	አሰረ	/ʔɛsɛrɛ/	/ʔsara/	أسَرَ	VP	VP						ሀሰረ	أسر	tie, imprison
A00021	አሳሪ	/ʔɛsar/	/ʔssaːr/	أسَّار	P	P						ሀሰረ	أسر	tie, imprison
A00022	አስሮ	/ʔɛsɨro/	/ʔsrun/	أَسْرٌ	G	M						ሀሰረ	أسر	tie, imprison
A00023	አስሮ	/ʔɛsɨro/	/ʔsrun/	أَسْرٌ	G	M						ሀሰረ	أسر	tie, imprison
A00024	ያስራል	/jasɨraːl/	/jaʔsiranna/	يَأْسِرَنَّ	VC	VC						ሀሰረ	أسر	tie, imprison
A00025	ይሰር	/jɨsɛr/	/jaʔsir/	يَأْسِر	VI	VI						ሀሰረ	أسر	tie, imprison
A00026	አሻራ	/ʔɛʃaraː/	/iʃaːra/	إشَارة	N	N	SNG	SNG					أشر	mark made by pressing an inked finger on to paper
A00027	አጥር	/ʔɛtˤɨr/	/itˤaːr/	إِطَار	N	N	SNG	SNG					أطر	fence
A00028	ማጠር	/maːtˤɛr/	/maʔtˤar/	مَأْطَر	I							ሀጠረ	أطر	make fence, be short
A00029	አጠረ	/ʔɛtˤɛrɛ/	/ʔtˤara/	أَطَرَ	VP	VP						ሀጠረ	أطر	make fence, be short
A00030	አጣሪ	/ʔɛtˤar/	/ʔtˤtˤaːr/	أَطَّار	P	P						ሀጠረ	أطر	make fence, be short
A00031	አጥሮ	/ʔɛtˤɨro/	/ʔtˤrun/	أَطْرٌ	G	M						ሀጠረ	أطر	make fence, be short
A00032	ያጥራል	/jatˤɨraːl/	/jaʔtˤiranna/	يَأْطِرَنَّ	VC	VC						ሀጠረ	أطر	make fence, be short
A00033	ይጠር	/jɨtˤɛr/	/jaʔutˤir/	يَؤْطِر	VI	VI						ሀጠረ	أطر	make fence, be short
A00034	አታክልት	/ʔɛtakɨlɨt/	/ʔkl/	أكْل	N	N	SNG	SNG					أكل	edible plant, especially leafy or fleshy parts, like cabbage. Salad
A00035	አለፈ	/ʔɛlɛfɛ/	/ʔlafa/	أَلَفَ	VP	VP						ሀለፈ	ألف	pass
A00036	አልፎ	/ʔɛlɨfo/	/ʔlfun/	أَلْفٌ	G	M						ሀለፈ	ألف	pass
A00037	ያልፋል	/jalɨfal/	/jaʔlifanna/	يَأْلِفَنَّ	VC	VC						ሀለፈ	ألف	pass
A00038	ይለፍ	/jɨlɛf/	/jaʔlif/	يَأْلِف	VI	VI						ሀለፈ	ألف	pass
A00039	ይለፍ	/jɨlɛf/	/iːlaːf/	إيلَاف	N	N	SNG	SNG		RLGN		ሀለፈ	ألف	passage
A00040	አማኝ	/ʔɛmaːɲ/	/ʔːmin/	آمِن	N	N						ሀመነ	أمن	advocate, one who trusts in (someone, something)
A00041	እምነት	/ʔɨmɨnɛt/	/iːmaːn/	إيمَان	N	N			RLGN	RLGN		ሀመነ	أمن	belief
A00042	ማመን	/maːmɛn/	/maʔman/	مَأمَن	G	G						ሀመነ	أمن	believe
A00043	ማመን	/maːmɛn/	/maʔman/	مَأْمَن	I							ሀመነ	أمن	believe
A00044	አመነ	/ʔɛmɛnɛ/	/ʔːmana/	آمَنَ	VP	VP						ሀመነ	أمن	believe
A00045	አማኝ	/ʔɛmaːɲ/	/ʔmmaːn/	أمَّان	P	P						ሀመነ	أمن	believe
A00046	አምኖ	/ʔɛmɨno/	/ʔmnun/	أَمْنٌ	G	M						ሀመነ	أمن	believe
A00047	ያምናል	/jamɨnal/	/jaʔminanna/	يَأْمِنَنَّ	VC	VC						ሀመነ	أمن	believe
A00048	ይመን	/jɨmɛn/	/juʔumin/	يُؤمِن	VI	VI						ሀመነ	أمن	believe
A00049	እምነት	/ʔɨmɨnɛt/	/ʔmaːna/	أمَانة	N	N						ሀመነ	أمن	conviction, trust, confidence
A00050	አማን	/ʔɛmaːn/	/ʔmaːn/	أمَان	N	N						ሀመነ	أمن	serenity, peacefulness
A00051	እመን	/ʔɨmɛn/	/ʔmn/	أمْن	N	N						ሀመነ	أمن	trust
A00052	መባስ	/mɛbas/	/mabʔs/	مَبْأَس	I							ባህሰ	بأس	get worse
A00053	ባሰ	/basɛ/	/baʔsa/	بَأسَ	VP	VP						ባህሰ	بأس	get worse
A00054	ባሽ	/baʃ/	/baːjiðˤ/	بَايِظ	P	Pcol [sd]						ባህሰ	بأس	get worse
A00055	ባሽ	/baʃ/	/baːʔis/	بَائِس	P	P						ባህሰ	بأس	get worse
A00056	ብሶ	/bɨso/	/baʔsun/	بَأسٌ	G	M						ባህሰ	بأس	get worse
A00057	ይባስ	/jɨbas/	/jabʔs/	يَبْأس	VI	VI						ባህሰ	بأس	get worse
A00058	ይብሳል	/jɨbɨsal/	/jabʔsanna/	يَبْأسَنَّ	VC	VC						ባህሰ	بأس	get worse
A00059	ቢስ	/bis/	/baʔs/	بَأس	N	N						ባህሰ	بأس	invalid
A00060	በጠበጠ	/bɛtˤɛbɛtˤɛ/	/batbata/	بَتْبَتَ	VP	VP							بتبت	shake, disturb
A00061	በጥባጭ	/bɛtˤɨbatʃ/	/batbaːt/	بَتْبَات	P	P							بتبت	shake, disturb
A00062	በጥብጦ	/bɛtˤɨbɨtˤo/	/batbatatun/	بَتْبَتَةٌ	G	M							بتبت	shake, disturb
A00063	ይበጠብጣል	/jɨbɛtˤɛbɨtˤal/	/jabatbitanna/	يَبَتْبِتَنَّ	VC	VC							بتبت	shake, disturb
A00064	ይበጥብጥ	/jɨbɛtˤɨbɨtˤ/	/jabatbit/	يَبَتْبِت	VI	VI							بتبت	shake, disturb
A00065	እልባት	/ʔɨlɨbat/	/bat/	بَت	N	N							بتت	winding up, conclusion, ending, closing stage, book-mark
A00066	ባሕር	/bahɨr/	/baħr/	بَحْر	N	N	SNG	SNG					بحر	ocean, the deep
A00067	ባሕር	/bahɨr/	/baħr/	بَحْر	N	N	SNG	SNG					بحر	sea
A00068	ብድር	/bɨdɨr/	/badr/	بَدْر	N	N	SNG	SNG					بدر	advance, credit
A00069	ቡድን	/budɨn/	/badan/	بَدَن	N	N							بدن	band, squad, crew, party
A00070	በደ፟ነ	/bɛddɛnɛ/	/baddana/	بَدَّنَ	VP	VP							بدن	be paralysed
A00071	በድኖ	/bɛdɨno/	/badnun/	بَدْنٌ	G	M							بدن	be paralysed
A00072	ይበድን	/jɨbɛdɨn/	/jabaddin/	يَبَدِّن	VI	VI							بدن	be paralysed
A00073	መብደን	/mɛbɨdɛn/	/mabdan/	مَبْدَن	I								بدن	be paralyzed
A00074	በደነ	/bɛdɛnɛ/	/badana/	بَدَنَ	VP	VP							بدن	be paralyzed
A00075	በድን	/bɛdɨn/	/baddaːn/	بَدَّان	P	P							بدن	be paralyzed
A00076	በድኖ	/bɛdɨno/	/badnun/	بَدْنٌ	G	M							بدن	be paralyzed
A00077	ይበድናል	/jɨbɛdɨnal/	/jabdinanna/	يَبْدِنَنَّ	VC	VC							بدن	be paralyzed
A00078	ይበድን	/jɨbɛdɨn/	/jabdin/	يَبْدِن	VI	VI							بدن	be paralyzed
A00079	በድን	/bɛdɨn/	/badan/	بَدَن	N	N	SNG	SNG	ANAT	ANAT			بدن	corpse, carcass
A00080	በዛ	/bɛza/	/baðaχa/	بَذَخَ	VP	VP						በዛህ	بذخ	increase, be much
A00081	በዝቶ	/bɛzɨto/	/baðχun/	بَذْخٌ	G	M						በዛህ	بذخ	increase, be much
A00082	በዢ	/bɛʒi/	/baːðiχ/	بَاذِخ	P	P						በዛህ	بذخ	increase, be much
A00083	ይብዛ	/jɨbɨza/	/jabðaχ/	يَبْذَخ	VI	VI						በዛህ	بذخ	increase, be much
A00084	በርባሪ	/bɛrɨbar/	/barbaːr/	بَرْبار	N	N							بربر	a person who rummage around for concealed items, person
A00085	በረበረ	/bɛrɛbɛrɛ/	/barbara/	بَرْبَرَ	VP	VP							بربر	search
A00086	በርባሪ	/bɛrɨbar/	/barbaːr/	بَرْبَار	P	P							بربر	search
A00087	ይበርብር	/jɨbɛrɨbɨr/	/jabarbir/	يَبَرْبِر	VI	VI							بربر	search
A00088	በረሃ	/bɛrɛhaː/	/barħa/	بَرْحَة	N	N							برح	barren or arid region,
A00089	መብረድ	/mɛbɨrɛd/	/mabrad/	مَبْرَد	G	G							برد	be cold
A00090	መብረድ	/mɛbɨrɛd/	/mabrad/	مَبْرَد	I								برد	be cold
A00091	በረደ	/bɛrɛdɛ/	/barada/	بَرَدَ	VP	VP							برد	be cold
A00092	በረ፟ደ	/bɛrrɛdɛ/	/barrada/	بَرَّدَ	VP	VP							برد	be cold
A00093	በራጅ	/bɛraːdʒ/	/barraːd/	بَرَّاد	P	P							برد	be cold
A00094	በርዶ	/bɛrɨdo/	/bardun/	بَرْدٌ	G	M							برد	be cold
A00095	በርዶ	/bɛrɨdo/	/bardun/	بَرْدٌ	G	M							برد	be cold
A00096	ይበርዳል	/jɨbɛrɨdal/	/jabridanna/	يَبْرِدَنَّ	VC	VC							برد	be cold
A00097	ይበርድ	/jɨbɛrɨd/	/jabarrid/	يَبَرِّد	VI	VI							برد	be cold
A00098	ይብረድ	/jɨbɨrɛd/	/jabrid/	يَبْرِد	VI	VI							برد	be cold
A00099	ብርድ	/bɨrɨd/	/bard/	بَرْد	N	N							برد	chilly, wintry weather
A00100	መሞረድ	/mɛmorɛd/	/mabrad/	مَبْرَد	I							ሞረ፟ደ	برد	file, rasp
A00101	ሞረደ	/morɛdɛ/	/barada/	بَرَدَ	VP	VP						ሞረ፟ደ	برد	file, rasp
A00102	ሞራጅ	/moraːdʒ/	/barraːd/	بَرَّاد	P	P						ሞረ፟ደ	برد	file, rasp
A00103	ሞርዶ	/morɨdo/	/bardun/	بَرْدٌ	G	M						ሞረ፟ደ	برد	file, rasp
A00104	ይሞርዳል	/jɨmorɨdal/	/jabridanna/	يَبْرِدَنَّ	VC	VC						ሞረ፟ደ	برد	file, rasp
A00105	ይሞርድ	/jɨmorɨd/	/jabrid/	يَبْرِد	VI	VI						ሞረ፟ደ	برد	file, rasp
A00106	በረዶ	/bɛrɛdo/	/barad/	بَرَد	N	N							برد	ice
A00107	ሞረደ	/morɛdɛ/	/mibrad/	مِبْرَد	N	N	SNG	SNG	DMST	DMST		ሞረ፟ደ	برد	sharpener, device for honing or whetting (knife, etc.)
A00108	ሞረድ	/morɛd/	/mibrad/	مِبْرَد	N	N	SNG	SNG	DMST	DMST		ሞረ፟ደ	برد	sharpener, device for honing or whetting (knife, etc.)
A00109	ሙረዳ	/murɛda/	/biraːda/	بِرَادة	N	N							برد	the performance of sharpening, honing or whetting
